each generation's max average throughput
605.893982,605.893982,609.412170,609.412170,609.412170,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.655029,617.655029,617.655029,617.655029,617.655029,617.655029,617.655029,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,618.139282,618.139282,618.139282,618.139282,618.139282,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,8.750,10.000,8.750,0.500,0.875,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,

max average throughput
605.893982

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
-599,-1872,3,1,0,4,61.845070
1406,-1558,4,0,0,0,654.689209
867,1670,1,1,0,2,77.539436
-1041,1298,2,0,0,0,721.093445
-1909,-639,3,0,0,0,685.655762
1604,-699,4,0,0,0,706.686035
1532,908,1,0,0,0,720.753845
-1823,9,2,1,0,4,61.845070
-430,-655,3,0,0,0,956.867065
873,-1518,4,0,0,0,706.450867
46,1771,1,0,0,0,722.249634
-503,1888,2,0,0,0,675.106689
-1929,-821,3,1,0,4,61.845070
267,-1062,4,0,0,0,841.250671
303,864,1,0,0,0,911.995239
-171,1294,2,1,0,2,77.539436
-43,-1072,3,1,0,4,61.845070
927,-823,4,0,0,0,805.589478
1813,336,1,0,0,0,710.792297
-869,1177,2,0,0,0,757.987793
-769,-999,3,1,0,4,61.845070
260,-1734,4,1,0,4,61.845070
1474,4,1,0,0,0,775.013672
-1668,927,2,0,0,0,681.854492
-290,-1264,3,0,0,0,811.810364
1178,-1220,4,0,0,0,715.630310
659,201,1,0,0,0,993.934143
-1110,963,2,0,0,0,756.720947
-280,-972,3,0,0,0,883.300598
91,-735,4,0,0,0,953.862183
1785,1636,1,1,0,2,77.539436
-862,1475,2,0,0,0,713.524719
-609,-900,3,0,0,0,862.669617
1497,-804,4,0,0,0,715.066528
1008,1187,1,0,0,0,759.239380
-964,485,2,0,0,0,845.464111
-589,-1674,3,0,0,0,721.764526
59,-403,4,0,0,0,1126.254883
1115,1571,1,0,0,0,698.244812
-424,1971,2,0,0,0,666.146240
-1025,-1204,3,0,0,0,754.856445
422,-1284,4,0,0,0,780.744385
117,681,1,0,0,0,993.096069
-992,1096,2,1,0,1,275.531281
-1714,-445,3,0,0,0,722.374512
1558,-1192,4,0,0,0,673.963074
1631,291,1,0,0,0,741.466125
-1310,1468,2,0,0,0,673.115173
-1841,-150,3,0,0,0,710.291138
1176,-465,4,1,0,2,77.539436
1834,429,1,0,0,0,704.701416
-1839,583,2,0,0,0,678.737671
-830,-498,3,0,0,0,895.983032
736,-1231,4,1,0,4,61.845070
1821,1244,1,0,0,0,659.587646
-541,1333,2,0,0,0,762.823853
-1991,-320,3,1,0,4,61.845070
406,-117,4,0,0,0,1115.669434
209,419,1,1,0,2,77.539436
-778,1532,2,0,0,0,711.883301
-1925,-1992,3,0,0,0,594.656616
233,-1287,4,1,0,4,61.845070
1572,489,1,1,0,2,77.539436
-869,811,2,1,0,1,311.855865
-1628,-1631,3,0,0,0,647.040894
1336,-251,4,0,0,0,779.090515
1843,1661,1,1,0,2,77.539436
-1435,1054,2,0,0,0,701.689575
-1082,-1650,3,0,0,0,691.395203
1266,-1515,4,0,0,0,672.127075
993,1143,1,1,0,2,77.539436
-528,1531,2,1,0,2,77.539436
-1372,-509,3,0,0,0,777.092651
344,-511,4,0,0,0,1006.959534
1162,1141,1,0,0,0,746.394897
-91,1729,2,0,0,0,709.697144
-421,-710,3,0,0,0,941.856506
949,-317,4,0,0,0,867.222778
1818,974,1,1,0,2,77.539436
-1102,188,2,1,0,4,61.845070
-1758,-1416,3,0,0,0,652.934998
1091,-745,4,0,0,0,787.294800
1227,1949,1,1,0,2,77.539436
-555,345,2,0,0,0,989.929321
-1409,-1616,3,0,0,0,667.646912
358,-1207,4,0,0,0,801.136597
119,1348,1,1,0,2,77.539436
-1361,362,2,0,0,0,768.931641
-1352,-1762,3,0,0,0,657.577698
13,-332,4,1,0,4,61.845070
198,1851,1,0,0,0,708.057800
-80,376,2,0,0,0,1142.929810
-1207,-334,3,1,0,4,61.845070
541,-1176,4,0,0,0,793.145569
34,900,1,0,0,0,916.736328
-211,274,2,0,0,0,1173.442993
-511,-213,3,0,0,0,1056.994141
745,-315,4,0,0,0,928.466064
829,669,1,0,0,0,868.397644
-1553,1416,2,0,0,0,654.279541
-1570,-928,3,0,0,0,713.934875
508,-916,4,0,0,0,854.041931
404,850,1,0,0,0,904.073059
-1366,572,2,0,0,0,754.500732
-376,-25,3,0,0,0,1167.937012
1438,-1678,4,0,0,0,639.952576
1887,1524,1,1,0,2,77.539436
-1740,1993,2,0,0,0,588.755676
-202,-1320,3,1,0,4,61.845070
769,-629,4,0,0,0,869.262573
1682,828,1,1,0,2,77.539436
-1338,1051,2,0,0,0,714.698914
-1463,-1489,3,0,0,0,675.284729
1960,-483,4,1,0,2,77.539436
1095,533,1,0,0,0,829.886414
-886,1262,2,0,0,0,742.912415
-205,-620,3,1,0,4,61.845070
1381,-263,4,0,0,0,769.441895
1285,1257,1,1,0,2,77.539436
-1415,1567,2,1,0,1,143.513367
-971,-1729,3,0,0,0,689.967102
1169,-601,4,0,0,0,788.746155
1853,72,1,1,0,2,77.539436
-66,277,2,0,0,0,1229.496826
-1168,-1520,3,0,0,0,699.664978
1764,-325,4,1,0,2,77.539436
1066,1549,1,0,0,0,705.180054
-788,810,2,0,0,0,832.196594
-999,-1828,3,0,0,0,675.873047
919,-592,4,0,0,0,841.744446
553,390,1,0,0,0,999.118958
-1299,1689,2,0,0,0,650.351746
-886,-1911,3,1,0,4,61.845070
