537.425964,563.238892,583.219055,593.022766,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,

avg. max avg. throughput in test times
411.030426
avg. BS TX power in all test times
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,10.000,10.000,10.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,
avg. mbs all power,avg. cbsd enable number,avg. mbs area all power,avg. cbsd all power
70.000,4.000,40.000,4.000
avg. number of relay UE
653

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,10.000,10.000,10.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,
max average power
411.030426

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
1794,-671,4,1,0,4,22.269899
1723,1668,1,0,0,4,22.269899
-1579,730,2,1,0,1,42.287476
-1706,-916,3,0,0,4,22.269899
859,-1536,4,0,0,0,724.151428
915,1111,1,0,0,0,781.860168
-1997,455,2,1,0,1,42.287476
-408,-2000,3,0,0,4,22.269899
1432,-470,4,0,0,0,768.626465
931,923,1,0,0,0,808.690979
-1034,1622,2,0,0,1,42.287476
-1210,-1039,3,0,0,0,752.388062
295,-1710,4,1,0,4,22.269899
1460,1038,1,1,0,4,22.269899
-1835,1126,2,0,0,1,42.287476
-1185,-677,3,0,0,0,797.138062
1368,-70,4,1,0,4,22.269899
1412,1077,1,0,0,4,22.269899
-420,696,2,1,0,1,42.287476
-1322,-1945,3,0,0,4,22.269899
720,-1867,4,0,0,4,22.269899
1589,1872,1,0,0,1,42.287476
-1210,1666,2,0,0,1,42.287476
-241,-1299,3,0,0,0,806.467712
1545,-1412,4,0,0,4,22.269899
1217,427,1,0,0,0,813.389954
-1433,1063,2,0,0,1,42.287476
-1588,-1839,3,0,0,4,22.269899
1801,-1392,4,0,0,4,22.269899
1302,1035,1,0,0,0,740.342651
-508,1228,2,0,0,0,804.784058
-992,-1935,3,0,0,4,22.269899
1792,-428,4,0,0,4,22.269899
427,236,1,0,0,0,1093.445679
-112,800,2,0,0,0,948.077698
-1001,-176,3,0,0,0,881.929443
972,-1034,4,0,0,0,785.911133
893,1116,1,0,0,0,783.859863
-76,253,2,0,0,0,1270.406006
-408,-1672,3,1,0,4,22.269899
1074,-1939,4,0,0,4,22.269899
1711,1537,1,0,0,4,22.269899
-1048,1388,2,0,0,0,727.538513
-1886,-321,3,0,0,4,22.269899
59,-698,4,1,0,4,22.269899
1428,699,1,0,0,0,753.284180
-941,1230,2,0,0,0,760.825562
-63,-839,3,0,0,0,936.349792
521,-1257,4,0,0,0,797.994324
1476,1320,1,0,0,4,22.269899
-397,740,2,0,0,0,936.896423
-839,-1411,3,0,0,0,744.103027
1496,-569,4,0,0,0,751.367493
724,999,1,0,0,0,826.147766
-1195,534,2,0,0,0,809.152588
-1153,-792,3,0,0,0,790.055237
1033,-507,4,0,0,0,846.194763
994,914,1,0,0,0,800.188599
-1025,1915,2,0,0,1,42.287476
-1572,-104,3,1,0,4,22.269899
1154,-1093,4,1,0,4,22.269899
597,1190,1,0,0,0,804.259399
-1470,1468,2,0,0,1,42.287476
-1749,-323,3,0,0,4,22.269899
1678,-1437,4,1,0,4,22.269899
1995,383,1,0,0,4,22.269899
-105,1154,2,0,0,0,844.187927
-205,-530,3,0,0,0,1049.463379
44,-775,4,0,0,0,959.559204
1358,963,1,0,0,0,740.078125
-863,408,2,0,0,0,899.983276
-180,-1482,3,0,0,0,771.357544
1403,-745,4,1,0,4,22.269899
1477,1463,1,0,0,4,22.269899
-1980,192,2,0,0,4,22.269899
