each generation's max average throughput
552.235352,572.524902,572.524902,572.524902,572.524902,572.524902,577.250122,577.250122,577.250122,577.250122,577.250122,577.250122,577.250122,582.789246,582.789246,582.789246,582.789246,586.516479,586.516479,586.516479,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,CBSD 11,CBSD 12,CBSD 13,CBSD 14,CBSD 15,CBSD 16,CBSD 17,CBSD 18,CBSD 19,CBSD 20,CBSD 21,CBSD 22,CBSD 23,CBSD 24,CBSD 25,
5.000,5.000,5.000,10.000,0.000,0.000,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.625,

max average throughput
441.523499

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
1794,-671,4,1,0,3,19.716255
1723,1668,1,0,0,0,537.431213
-1579,730,2,1,0,3,19.716255
-1706,-916,3,0,0,0,597.925964
859,-1536,4,0,0,3,19.716255
915,1111,1,0,0,0,682.497803
-1997,455,2,1,0,3,19.716255
-408,-2000,3,0,0,0,582.967407
1432,-470,4,0,0,3,19.716255
931,923,1,0,0,0,709.220642
-1034,1622,2,0,0,0,599.811340
-1210,-1039,3,0,0,0,653.169861
295,-1710,4,1,0,3,19.716255
1460,1038,1,1,0,3,19.716255
-1835,1126,2,0,0,0,567.874573
-1185,-677,3,0,0,0,697.711792
1368,-70,4,1,0,3,19.716255
1412,1077,1,0,0,0,622.528564
-420,696,2,1,0,3,19.716255
-1322,-1945,3,0,0,0,542.931519
720,-1867,4,0,0,3,19.716255
1589,1872,1,0,0,0,530.780334
-1210,1666,2,0,0,0,580.499573
-241,-1299,3,0,0,0,707.005554
1545,-1412,4,0,0,3,19.716255
1217,427,1,0,0,0,713.902649
-1433,1063,2,0,0,0,621.190552
-1588,-1839,3,0,0,0,533.742188
1801,-1392,4,0,0,3,19.716255
1302,1035,1,0,0,0,641.192322
-508,1228,2,0,0,0,705.328186
-992,-1935,3,0,0,0,565.059631
1792,-428,4,0,0,3,19.716255
427,236,1,0,0,0,993.519409
-112,800,2,0,0,0,848.279480
-1001,-176,3,0,0,0,782.248474
972,-1034,4,0,0,3,19.716255
893,1116,1,0,0,0,684.488770
-76,253,2,0,0,0,1170.427734
-408,-1672,3,1,0,3,19.716255
1074,-1939,4,0,0,3,19.716255
1711,1537,1,0,0,0,549.208374
-1048,1388,2,0,0,0,628.466736
-1886,-321,3,0,0,0,601.355225
59,-698,4,1,0,3,19.716255
1428,699,1,0,0,0,654.061157
-941,1230,2,0,0,0,661.563049
-63,-839,3,0,0,0,836.568665
521,-1257,4,0,0,3,19.716255
1476,1320,1,0,0,0,591.578857
-397,740,2,0,0,0,837.114441
-839,-1411,3,0,0,0,644.930847
1496,-569,4,0,0,3,19.716255
724,999,1,0,0,0,726.617126
-1195,534,2,0,0,0,709.680481
-1153,-792,3,0,0,0,690.657776
1033,-507,4,0,0,3,19.716255
994,914,1,0,0,0,700.750305
-1025,1915,2,0,0,0,565.372131
-1572,-104,3,1,0,3,19.716255
1154,-1093,4,1,0,3,19.716255
597,1190,1,0,0,0,704.805542
-1470,1468,2,0,0,0,577.973816
-1749,-323,3,0,0,0,622.093201
1678,-1437,4,1,0,3,19.716255
1995,383,1,0,0,0,584.326233
-105,1154,2,0,0,0,744.602173
-205,-530,3,0,0,0,949.563354
44,-775,4,0,0,0,959.559204
1358,963,1,0,0,0,640.929321
-863,408,2,0,0,0,800.264832
-180,-1482,3,0,0,0,672.043213
1403,-745,4,1,0,3,19.716255
1477,1463,1,0,0,0,577.777710
-1980,192,2,0,0,0,590.271973
-1493,-1125,3,0,0,0,607.924438
1472,-1348,4,0,0,3,19.716255
394,670,1,0,0,0,859.369934
-752,1725,2,1,0,3,19.716255
-1331,-1025,3,1,0,3,19.716255
1616,-811,4,0,0,3,19.716255
1737,1485,1,0,0,0,551.020142
-41,1450,2,0,0,0,680.262695
-192,-1423,3,0,0,0,683.172546
902,-1408,4,0,0,3,19.716255
534,1648,1,0,0,0,629.591125
-1905,1991,2,0,0,0,498.451965
-1648,-170,3,0,0,0,642.311218
142,-464,4,0,0,0,1095.007935
544,795,1,0,0,0,797.650757
-275,1972,2,1,0,3,19.716255
