each generation's max average throughput
601.822205,603.882263,612.620300,615.960327,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,618.134583,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,CBSD 11,CBSD 12,CBSD 13,CBSD 14,CBSD 15,CBSD 16,CBSD 17,CBSD 18,CBSD 19,CBSD 20,CBSD 21,CBSD 22,CBSD 23,CBSD 24,CBSD 25,CBSD 26,CBSD 27,CBSD 28,CBSD 29,CBSD 30,
7.500,10.000,8.750,8.750,0.000,0.750,0.000,0.625,0.875,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.000,

max average throughput
601.822205

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
-1660,1106,2,0,0,0,688.283386
-1946,-795,3,0,0,0,654.212341
1754,-1857,4,0,0,0,598.721436
715,1804,1,0,0,0,655.044495
-896,283,2,0,0,0,904.530701
-489,-1623,3,1,0,4,89.904404
366,-719,4,1,0,4,89.904404
1717,722,1,0,0,0,666.745483
-473,1514,2,1,0,5,102.994965
-1927,-1216,3,0,0,0,631.224426
1296,-1573,4,0,0,0,663.041443
1884,1345,1,0,0,0,604.801270
-1041,1835,2,1,0,5,102.994965
-599,-1872,3,1,0,4,89.904404
1406,-1558,4,0,0,0,654.689209
867,1670,1,1,0,2,97.120094
-1041,1298,2,0,0,0,740.236084
-1909,-639,3,0,0,0,666.569031
1604,-699,4,0,0,0,706.686035
1532,908,1,0,0,0,679.575012
-1823,9,2,1,0,5,102.994965
-430,-655,3,0,0,0,937.629761
873,-1518,4,0,0,0,706.450867
46,1771,1,0,0,0,681.067505
-503,1888,2,0,0,0,694.203674
-1929,-821,3,1,0,4,89.904404
267,-1062,4,0,0,0,841.250671
303,864,1,0,0,0,870.577820
-171,1294,2,1,0,5,102.994965
-43,-1072,3,1,0,4,89.904404
927,-823,4,0,0,0,805.589478
1813,336,1,0,0,0,669.636719
-869,1177,2,0,0,0,777.157959
-769,-999,3,1,0,4,89.904404
260,-1734,4,1,0,4,89.904404
1474,4,1,0,0,0,733.733276
-1668,927,2,0,0,0,700.959045
-290,-1264,3,0,0,0,792.620056
1178,-1220,4,0,0,0,715.630310
659,201,1,0,0,0,952.479553
-1110,963,2,0,0,0,775.890259
-280,-972,3,0,0,0,864.081299
91,-735,4,0,0,0,953.862183
1785,1636,1,1,0,2,97.120094
-862,1475,2,0,0,0,732.660828
-609,-900,3,0,0,0,843.457336
1497,-804,4,0,0,0,715.066528
1008,1187,1,0,0,0,717.984497
-964,485,2,0,0,0,864.677185
-589,-1674,3,0,0,0,702.638489
59,-403,4,0,0,0,1126.254883
1115,1571,1,0,0,0,657.120789
-424,1971,2,0,0,0,685.232422
-1025,-1204,3,0,0,0,735.702026
422,-1284,4,0,0,0,780.744385
117,681,1,0,0,0,951.641785
-992,1096,2,1,0,5,102.994965
-1714,-445,3,0,0,0,703.247925
1558,-1192,4,0,0,0,673.963074
1631,291,1,0,0,0,700.243896
-1310,1468,2,0,0,0,692.209778
-1841,-150,3,0,0,0,691.176514
1176,-465,4,1,0,2,97.120094
1834,429,1,0,0,0,663.560791
-1839,583,2,0,0,0,697.838745
-830,-498,3,0,0,0,876.759949
736,-1231,4,1,0,4,89.904404
1821,1244,1,0,0,0,618.580139
-541,1333,2,0,0,0,781.997131
-1991,-320,3,1,0,5,102.994965
406,-117,4,0,0,0,1115.669434
209,419,1,1,0,2,97.120094
-778,1532,2,0,0,0,731.017944
-1925,-1992,3,0,0,0,575.725952
233,-1287,4,1,0,4,89.904404
1572,489,1,1,0,2,97.120094
-869,811,2,1,0,5,102.994965
-1628,-1631,3,0,0,0,628.008667
1336,-251,4,0,0,0,779.090515
1843,1661,1,1,0,2,97.120094
-1435,1054,2,0,0,0,720.814758
-1082,-1650,3,0,0,0,672.301575
1266,-1515,4,0,0,0,672.127075
993,1143,1,1,0,2,97.120094
-528,1531,2,1,0,5,102.994965
-1372,-509,3,0,0,0,757.922485
344,-511,4,0,0,0,1006.959534
1162,1141,1,0,0,0,705.163208
-91,1729,2,0,0,0,728.829773
-421,-710,3,0,0,0,922.622131
949,-317,4,0,0,0,867.222778
1818,974,1,1,0,2,97.120094
-1102,188,2,1,0,5,102.994965
-1758,-1416,3,0,0,0,633.893494
1091,-745,4,0,0,0,787.294800
1227,1949,1,1,0,2,97.120094
-555,345,2,0,0,0,1009.174866
-1409,-1616,3,0,0,0,648.583801
358,-1207,4,0,0,0,801.136597
119,1348,1,1,0,5,102.994965
-1361,362,2,0,0,0,788.108704
-1352,-1762,3,0,0,0,638.529175
13,-332,4,1,0,0,249.317688
198,1851,1,0,0,0,666.909119
-80,376,2,0,0,0,1162.187744
-1207,-334,3,1,0,4,89.904404
541,-1176,4,0,0,0,793.145569
34,900,1,0,0,0,875.316162
-211,274,2,0,0,0,1192.702148
-511,-213,3,0,0,0,1037.743286
745,-315,4,0,0,0,928.466064
829,669,1,0,0,0,827.010925
-1553,1416,2,0,0,0,673.350464
-1570,-928,3,0,0,0,694.816528
508,-916,4,0,0,0,854.041931
404,850,1,0,0,0,862.660522
-1366,572,2,0,0,0,773.668579
-376,-25,3,0,0,0,1148.678955
1438,-1678,4,0,0,0,639.952576
1887,1524,1,1,0,2,97.120094
-1740,1993,2,0,0,0,607.715210
-202,-1320,3,1,0,4,89.904404
769,-629,4,0,0,0,869.262573
1682,828,1,1,0,2,97.120094
-1338,1051,2,0,0,0,733.836060
-1463,-1489,3,0,0,0,656.211243
1960,-483,4,1,0,2,97.120094
1095,533,1,0,0,0,788.535217
-886,1262,2,0,0,0,762.072205
-205,-620,3,1,0,4,89.904404
1381,-263,4,0,0,0,769.441895
1285,1257,1,1,0,2,97.120094
-1415,1567,2,1,0,5,102.994965
-971,-1729,3,0,0,0,670.875183
1169,-601,4,0,0,0,788.746155
1853,72,1,1,0,2,97.120094
-66,277,2,0,0,0,1248.757690
-1168,-1520,3,0,0,0,680.561829
1764,-325,4,1,0,2,97.120094
1066,1549,1,0,0,0,664.038513
-788,810,2,0,0,0,851.404663
-999,-1828,3,0,0,0,656.798828
919,-592,4,0,0,0,841.744446
553,390,1,0,0,0,957.662598
-1299,1689,2,0,0,0,669.417297
-886,-1911,3,1,0,4,89.904404
1348,-1891,4,1,0,4,89.904404
1665,240,1,0,0,0,695.879944
-1754,969,2,1,0,5,102.994965
-611,-505,3,0,0,0,934.285095
865,-778,4,0,0,0,823.834106
1059,1812,1,0,0,0,632.686523
-1159,1074,2,0,0,0,755.056580
-133,-941,3,0,0,0,882.038391
544,-1121,4,0,0,0,804.108154
485,1230,1,0,0,0,764.926453
-680,268,2,0,0,0,976.904236
-1974,-959,3,0,0,0,641.927246
63,-416,4,0,0,0,1116.886230
1917,1440,1,1,0,2,97.120094
-888,115,2,0,0,0,918.412781
-1806,-1581,3,0,0,0,616.414978
76,-1421,4,0,0,0,765.947815
807,1582,1,0,0,0,680.366699
-1588,957,2,0,0,0,709.211792
-570,-1051,3,1,0,4,89.904404
307,-723,4,0,0,0,936.915161
37,1539,1,1,0,5,102.994965
-990,1417,2,0,0,0,729.295898
-1735,-537,3,0,0,0,696.004395
1269,-1102,4,0,0,0,718.209778
1629,174,1,0,0,0,703.457397
-1793,1857,2,0,0,0,614.716980
-655,-978,3,0,0,0,820.474121
1494,-59,4,0,0,0,751.754639
1026,1556,1,0,0,0,666.562805
-20,762,2,0,0,0,964.798279
-759,-241,3,0,0,0,932.958130
1526,-1193,4,0,0,0,677.585449
152,1114,1,0,0,0,811.497192
-285,1873,2,0,0,0,703.026062
-1014,-520,3,0,0,0,829.789917
1914,-1964,4,1,0,2,97.120094
495,1106,1,0,0,0,789.981323
-385,1995,2,1,0,5,102.994965
-948,-1400,3,1,0,4,89.904404
297,-562,4,0,0,0,997.907410
1415,1560,1,0,0,0,631.687439
-1898,1930,2,0,0,0,601.215027
-1229,-581,3,0,0,0,779.082214
306,-738,4,0,0,0,932.025635
1721,1243,1,0,0,0,629.423523
-1069,1967,2,0,0,0,655.300781
-4,-234,3,0,0,0,1286.087158
13,-1046,4,0,0,0,854.414001
1463,669,1,1,0,2,97.120094
-1814,1491,2,0,0,0,641.687500
-109,-464,3,0,0,0,1080.917603
1549,-230,4,0,0,0,738.478088
1057,452,1,0,0,0,805.108215
-1631,480,2,1,0,5,102.994965
